"STATION","NAME","DATE","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-04-06",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-04-07","87",",,S","55",",,S"
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-04-08",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-04-09",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-04-10",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-04-11",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-04-12",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-04-13",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-04-14",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-04-15",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-04-16",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-04-17",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-04-18",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-04-19",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-04-20",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-04-21",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-04-22",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-04-23",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-04-24",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-04-25",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-04-26",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-04-27",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-04-28",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-04-29",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-04-30",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-05-01",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-05-02",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-05-03",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-05-04",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-05-05",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-05-06",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-05-07",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-05-08",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-05-09",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-05-10",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-05-11",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-05-12",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-05-13",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-05-14",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-05-15",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-05-16",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-05-17",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-05-18",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-05-19",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-05-20",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-05-21",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-05-22",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-05-23",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-05-24",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-05-25",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-05-26",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-05-27",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-05-28",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-05-29",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-05-30",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-05-31",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-06-01",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-06-02",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-06-03","87",",,S","55",",,S"
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-06-04",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-06-05",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-06-06",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-06-07",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-06-08",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-06-09",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-06-10",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-06-11","86",",,S","53",",,S"
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-06-12",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-06-13",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-06-14",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-06-15",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-06-16","85",",,S","50",",,S"
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-06-17",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-06-18",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-06-19",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-06-20",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-06-21",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-06-22",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-06-23",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-06-24",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-06-25",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-06-26",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-06-27",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-06-28",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-06-29","82",",,S","54",",,S"
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-06-30","84",",,S","54",",,S"
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-07-01",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-07-02",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-07-03","82",",,S","50",",,S"
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-07-04",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-07-05","82",",,S","53",",,S"
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-07-06",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-07-07","80",",,S","55",",,S"
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-07-08",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-07-09",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-07-10",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-07-11","83",",,S","48",",,S"
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-07-12",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-07-13",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-07-14",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-07-15",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-07-16",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-07-17",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-07-18",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-07-19",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-07-20",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-07-21",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-07-22",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-07-23",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-07-24",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-07-25",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-07-26",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-07-27",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-07-28",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-07-29",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-07-30",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-07-31",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-08-01",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-08-02","82",",,S","55",",,S"
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-08-03",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-08-04",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-08-05",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-08-06",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-08-07",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-08-08","80",",,S","52",",,S"
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-08-09",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-08-10",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-08-11",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-08-12","78",",,S","55",",,S"
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-08-13",,,,
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-08-14","78",",,S","54",",,S"
"MXM00076685","HERMANOS SERDAN INTERNATIONAL, MX","2020-08-15",,,,
