"STATION","NAME","DATE","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXM00076680","MEXICO CITY, MX","2020-08-22","82",",,S","58",",,S"
"MXM00076680","MEXICO CITY, MX","2020-08-23","79",",,S","58",",,S"
"MXM00076680","MEXICO CITY, MX","2020-08-24","80",",,S","56",",,S"
"MXM00076680","MEXICO CITY, MX","2020-08-29","80",",,S","59",",,S"
"MXM00076680","MEXICO CITY, MX","2020-09-05","72",",,S","57",",,S"
"MXM00076680","MEXICO CITY, MX","2020-09-12",,,,
"MXM00076680","MEXICO CITY, MX","2020-09-13",,,,
"MXM00076680","MEXICO CITY, MX","2020-09-14","74",",,S","54",",,S"
"MXM00076680","MEXICO CITY, MX","2020-09-16","77",",,S","59",",,S"
"MXM00076680","MEXICO CITY, MX","2020-09-19","63",",,S","54",",,S"
"MXM00076680","MEXICO CITY, MX","2020-09-20",,,,
"MXM00076680","MEXICO CITY, MX","2020-09-21","73",",,S","56",",,S"
"MXM00076680","MEXICO CITY, MX","2020-09-26","74",",,S","55",",,S"
"MXM00076680","MEXICO CITY, MX","2020-09-27",,,,
"MXM00076680","MEXICO CITY, MX","2020-09-28","76",",,S","58",",,S"
"MXM00076680","MEXICO CITY, MX","2020-10-03",,,,
"MXM00076680","MEXICO CITY, MX","2020-10-04","76",",,S","53",",,S"
"MXM00076680","MEXICO CITY, MX","2020-10-05","73",",,S","45",",,S"
"MXM00076680","MEXICO CITY, MX","2020-10-11",,,,
"MXM00076680","MEXICO CITY, MX","2020-10-12","84",",,S","56",",,S"
"MXM00076680","MEXICO CITY, MX","2020-10-24","77",",,S","50",",,S"
"MXM00076680","MEXICO CITY, MX","2020-10-25",,,,
"MXM00076680","MEXICO CITY, MX","2020-10-26",,,,
"MXM00076680","MEXICO CITY, MX","2020-11-08","77",",,S","49",",,S"
"MXM00076680","MEXICO CITY, MX","2020-11-09","78",",,S","51",",,S"
"MXM00076680","MEXICO CITY, MX","2020-11-15","81",",,S","52",",,S"
"MXM00076680","MEXICO CITY, MX","2020-11-16","77",",,S","53",",,S"
"MXM00076680","MEXICO CITY, MX","2020-11-17","71",",,S","51",",,S"
"MXM00076680","MEXICO CITY, MX","2020-11-21",,,,
"MXM00076680","MEXICO CITY, MX","2020-11-22",,,,
"MXM00076680","MEXICO CITY, MX","2020-11-23","74",",,S","48",",,S"
"MXM00076680","MEXICO CITY, MX","2020-11-27","81",",,S","50",",,S"
"MXM00076680","MEXICO CITY, MX","2020-11-28","81",",,S","50",",,S"
"MXM00076680","MEXICO CITY, MX","2020-11-29","80",",,S","51",",,S"
"MXM00076680","MEXICO CITY, MX","2020-12-01","71",",,S","49",",,S"
"MXM00076680","MEXICO CITY, MX","2020-12-06","72",",,S","50",",,S"
"MXM00076680","MEXICO CITY, MX","2020-12-07","74",",,S","50",",,S"
"MXM00076680","MEXICO CITY, MX","2020-12-13",,,,
"MXM00076680","MEXICO CITY, MX","2020-12-14","79",",,S","50",",,S"
"MXM00076680","MEXICO CITY, MX","2020-12-20","75",",,S","51",",,S"
"MXM00076680","MEXICO CITY, MX","2020-12-21","76",",,S","51",",,S"
"MXM00076680","MEXICO CITY, MX","2020-12-26",,,,
"MXM00076680","MEXICO CITY, MX","2020-12-27","76",",,S","47",",,S"
"MXM00076680","MEXICO CITY, MX","2020-12-28","72",",,S","43",",,S"
"MXM00076680","MEXICO CITY, MX","2021-01-02","78",",,S","40",",,S"
"MXM00076680","MEXICO CITY, MX","2021-01-03","77",",,S","42",",,S"
"MXM00076680","MEXICO CITY, MX","2021-01-04","80",",,S","44",",,S"
"MXM00076680","MEXICO CITY, MX","2021-01-08","71",",,S","47",",,S"
"MXM00076680","MEXICO CITY, MX","2021-01-16","72",",,S","49",",,S"
"MXM00076680","MEXICO CITY, MX","2021-01-17","68",",,S","54",",,S"
"MXM00076680","MEXICO CITY, MX","2021-01-18",,,,
"MXM00076680","MEXICO CITY, MX","2021-01-22","80",",,S","48",",,S"
"MXM00076680","MEXICO CITY, MX","2021-01-24","78",",,S","54",",,S"
"MXM00076680","MEXICO CITY, MX","2021-01-25",,,,
"MXM00076680","MEXICO CITY, MX","2021-01-31","78",",,S","52",",,S"
"MXM00076680","MEXICO CITY, MX","2021-02-01","78",",,S","52",",,S"
