"STATION","NAME","DATE","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXM00076726","CUERNAVACA, MX","2020-07-31",,,,
"MXM00076726","CUERNAVACA, MX","2020-08-01",,,,
"MXM00076726","CUERNAVACA, MX","2020-08-02",,,,
"MXM00076726","CUERNAVACA, MX","2020-08-03",,,,
"MXM00076726","CUERNAVACA, MX","2020-08-04",,,,
"MXM00076726","CUERNAVACA, MX","2020-08-05",,,,
"MXM00076726","CUERNAVACA, MX","2020-08-06",,,,
"MXM00076726","CUERNAVACA, MX","2020-08-07",,,,
"MXM00076726","CUERNAVACA, MX","2020-08-08","81",",,S","57",",,S"
"MXM00076726","CUERNAVACA, MX","2020-08-09",,,,
"MXM00076726","CUERNAVACA, MX","2020-08-10",,,,
"MXM00076726","CUERNAVACA, MX","2020-08-11",,,,
"MXM00076726","CUERNAVACA, MX","2020-08-12","81",",,S","56",",,S"
"MXM00076726","CUERNAVACA, MX","2020-08-13",,,,
"MXM00076726","CUERNAVACA, MX","2020-08-14",,,,
"MXM00076726","CUERNAVACA, MX","2020-08-15",,,,
"MXM00076726","CUERNAVACA, MX","2020-08-16","82",",,S","56",",,S"
"MXM00076726","CUERNAVACA, MX","2020-08-17",,,,
"MXM00076726","CUERNAVACA, MX","2020-08-18","84",",,S","56",",,S"
"MXM00076726","CUERNAVACA, MX","2020-08-19",,,,
"MXM00076726","CUERNAVACA, MX","2020-08-20",,,,
"MXM00076726","CUERNAVACA, MX","2020-08-21",,,,
"MXM00076726","CUERNAVACA, MX","2020-08-22",,,,
"MXM00076726","CUERNAVACA, MX","2020-08-23","82",",,S","58",",,S"
"MXM00076726","CUERNAVACA, MX","2020-08-24",,,,
"MXM00076726","CUERNAVACA, MX","2020-08-25",,,,
"MXM00076726","CUERNAVACA, MX","2020-08-26",,,,
"MXM00076726","CUERNAVACA, MX","2020-08-27","82",",,S","57",",,S"
"MXM00076726","CUERNAVACA, MX","2020-08-28",,,,
"MXM00076726","CUERNAVACA, MX","2020-08-29",,,,
"MXM00076726","CUERNAVACA, MX","2020-08-30",,,,
"MXM00076726","CUERNAVACA, MX","2020-08-31",,,,
"MXM00076726","CUERNAVACA, MX","2020-09-01","81",",,S","59",",,S"
"MXM00076726","CUERNAVACA, MX","2020-09-02",,,,
"MXM00076726","CUERNAVACA, MX","2020-09-03","83",",,S","56",",,S"
"MXM00076726","CUERNAVACA, MX","2020-09-04","84",",,S","57",",,S"
"MXM00076726","CUERNAVACA, MX","2020-09-05","82",",,S","57",",,S"
"MXM00076726","CUERNAVACA, MX","2020-09-06",,,,
"MXM00076726","CUERNAVACA, MX","2020-09-07",,,,
"MXM00076726","CUERNAVACA, MX","2020-09-08","81",",,S","56",",,S"
"MXM00076726","CUERNAVACA, MX","2020-09-09",,,,
"MXM00076726","CUERNAVACA, MX","2020-09-10",,,,
"MXM00076726","CUERNAVACA, MX","2020-09-11",,,,
"MXM00076726","CUERNAVACA, MX","2020-09-12",,,,
"MXM00076726","CUERNAVACA, MX","2020-09-13",,,,
"MXM00076726","CUERNAVACA, MX","2020-09-14",,,,
"MXM00076726","CUERNAVACA, MX","2020-09-15","80",",,S","56",",,S"
"MXM00076726","CUERNAVACA, MX","2020-09-16",,,,
"MXM00076726","CUERNAVACA, MX","2020-09-17",,,,
"MXM00076726","CUERNAVACA, MX","2020-09-18",,,,
"MXM00076726","CUERNAVACA, MX","2020-09-19",,,,
"MXM00076726","CUERNAVACA, MX","2020-09-20",,,,
"MXM00076726","CUERNAVACA, MX","2020-09-21",,,,
"MXM00076726","CUERNAVACA, MX","2020-09-22",,,,
"MXM00076726","CUERNAVACA, MX","2020-09-23",,,,
"MXM00076726","CUERNAVACA, MX","2020-09-24",,,,
"MXM00076726","CUERNAVACA, MX","2020-09-25",,,,
"MXM00076726","CUERNAVACA, MX","2020-09-26",,,,
"MXM00076726","CUERNAVACA, MX","2020-09-27",,,,
"MXM00076726","CUERNAVACA, MX","2020-09-28",,,,
"MXM00076726","CUERNAVACA, MX","2020-09-29","76",",,S","56",",,S"
"MXM00076726","CUERNAVACA, MX","2020-09-30","77",",,S","52",",,S"
"MXM00076726","CUERNAVACA, MX","2020-10-01",,,,
"MXM00076726","CUERNAVACA, MX","2020-10-02",,,,
"MXM00076726","CUERNAVACA, MX","2020-10-03","77",",,S","48",",,S"
"MXM00076726","CUERNAVACA, MX","2020-10-04","77",",,S","48",",,S"
"MXM00076726","CUERNAVACA, MX","2020-10-05",,,,
"MXM00076726","CUERNAVACA, MX","2020-10-06","77",",,S","50",",,S"
"MXM00076726","CUERNAVACA, MX","2020-10-07",,,,
"MXM00076726","CUERNAVACA, MX","2020-10-08","81",",,S","48",",,S"
"MXM00076726","CUERNAVACA, MX","2020-10-09",,,,
"MXM00076726","CUERNAVACA, MX","2020-10-10",,,,
"MXM00076726","CUERNAVACA, MX","2020-10-11",,,,
"MXM00076726","CUERNAVACA, MX","2020-10-12",,,,
"MXM00076726","CUERNAVACA, MX","2020-10-13","81",",,S","57",",,S"
"MXM00076726","CUERNAVACA, MX","2020-10-14",,,,
"MXM00076726","CUERNAVACA, MX","2020-10-15","82",",,S","55",",,S"
"MXM00076726","CUERNAVACA, MX","2020-10-16",,,,
"MXM00076726","CUERNAVACA, MX","2020-10-17",,,,
"MXM00076726","CUERNAVACA, MX","2020-10-18","81",",,S","54",",,S"
"MXM00076726","CUERNAVACA, MX","2020-10-19",,,,
"MXM00076726","CUERNAVACA, MX","2020-10-20",,,,
"MXM00076726","CUERNAVACA, MX","2020-10-21",,,,
"MXM00076726","CUERNAVACA, MX","2020-10-22",,,,
"MXM00076726","CUERNAVACA, MX","2020-10-23",,,,
"MXM00076726","CUERNAVACA, MX","2020-10-24",,,,
"MXM00076726","CUERNAVACA, MX","2020-10-25",,,,
"MXM00076726","CUERNAVACA, MX","2020-10-26",,,,
"MXM00076726","CUERNAVACA, MX","2020-10-27",,,,
"MXM00076726","CUERNAVACA, MX","2020-10-28",,,,
"MXM00076726","CUERNAVACA, MX","2020-10-29",,,,
"MXM00076726","CUERNAVACA, MX","2020-10-30",,,,
